"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 06:31:13 UTC 2024","Thu Apr 11 06:31:15 UTC 2024","2093","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Thu Apr 11 05:56:22 UTC 2024","Thu Apr 11 05:56:40 UTC 2024","18022","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Thu Apr 11 05:58:36 UTC 2024","Thu Apr 11 05:58:51 UTC 2024","15621","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Thu Apr 11 05:58:53 UTC 2024","Thu Apr 11 05:58:58 UTC 2024","5041","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"skipped","Thu Apr 11 06:17:39 UTC 2024","Thu Apr 11 06:17:39 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"skipped","Thu Apr 11 08:15:19 UTC 2024","Thu Apr 11 08:15:19 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"skipped","Thu Apr 11 05:54:11 UTC 2024","Thu Apr 11 05:54:11 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"skipped","Thu Apr 11 08:15:19 UTC 2024","Thu Apr 11 08:15:19 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Thu Apr 11 06:31:45 UTC 2024","Thu Apr 11 06:31:56 UTC 2024","10398","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"skipped","Thu Apr 11 08:15:19 UTC 2024","Thu Apr 11 08:15:19 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"skipped","Thu Apr 11 05:54:11 UTC 2024","Thu Apr 11 05:54:11 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Thu Apr 11 06:43:55 UTC 2024","Thu Apr 11 06:44:05 UTC 2024","9635","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Thu Apr 11 06:31:18 UTC 2024","Thu Apr 11 06:31:21 UTC 2024","3637","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Thu Apr 11 05:58:58 UTC 2024","Thu Apr 11 05:59:00 UTC 2024","1533","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Thu Apr 11 06:37:04 UTC 2024","Thu Apr 11 06:37:19 UTC 2024","14834","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Thu Apr 11 06:17:39 UTC 2024","Thu Apr 11 06:17:39 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"broken","Thu Apr 11 08:15:19 UTC 2024","Thu Apr 11 08:15:19 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"broken","Thu Apr 11 06:17:39 UTC 2024","Thu Apr 11 06:17:39 UTC 2024","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Thu Apr 11 06:31:01 UTC 2024","Thu Apr 11 06:31:11 UTC 2024","10050","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"skipped","Thu Apr 11 05:54:11 UTC 2024","Thu Apr 11 05:54:11 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"broken","Thu Apr 11 05:54:11 UTC 2024","Thu Apr 11 05:54:11 UTC 2024","3","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Thu Apr 11 06:31:11 UTC 2024","Thu Apr 11 06:31:13 UTC 2024","2547","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"skipped","Thu Apr 11 06:17:39 UTC 2024","Thu Apr 11 06:17:39 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Thu Apr 11 06:44:08 UTC 2024","Thu Apr 11 06:44:12 UTC 2024","4243","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Thu Apr 11 06:31:31 UTC 2024","Thu Apr 11 06:31:33 UTC 2024","1760","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Thu Apr 11 05:56:40 UTC 2024","Thu Apr 11 05:56:43 UTC 2024","2867","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Thu Apr 11 06:20:00 UTC 2024","Thu Apr 11 06:20:44 UTC 2024","44047","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"skipped","Thu Apr 11 08:15:19 UTC 2024","Thu Apr 11 08:15:19 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Apr 11 06:43:41 UTC 2024","Thu Apr 11 06:43:55 UTC 2024","14089","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"skipped","Thu Apr 11 06:17:39 UTC 2024","Thu Apr 11 06:17:39 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Apr 11 05:37:02 UTC 2024","Thu Apr 11 05:37:21 UTC 2024","18954","","9. Client Portal - Home","","","","1. Check links",""
"passed","Thu Apr 11 05:56:43 UTC 2024","Thu Apr 11 05:57:03 UTC 2024","19661","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"skipped","Thu Apr 11 05:54:11 UTC 2024","Thu Apr 11 05:54:11 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"skipped","Thu Apr 11 08:15:19 UTC 2024","Thu Apr 11 08:15:19 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Thu Apr 11 05:58:51 UTC 2024","Thu Apr 11 05:58:53 UTC 2024","1910","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Thu Apr 11 06:31:16 UTC 2024","Thu Apr 11 06:31:18 UTC 2024","2245","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Thu Apr 11 06:31:21 UTC 2024","Thu Apr 11 06:31:31 UTC 2024","9358","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Thu Apr 11 07:17:49 UTC 2024","Thu Apr 11 07:17:57 UTC 2024","8195","","21. Forgot password function","","","","1. Direct to forgot password page",""
"skipped","Thu Apr 11 05:54:11 UTC 2024","Thu Apr 11 05:54:11 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Thu Apr 11 05:34:05 UTC 2024","Thu Apr 11 05:35:16 UTC 2024","70691","","8. Sign Up new user","","","","1. Create a new user",""
"skipped","Thu Apr 11 05:54:11 UTC 2024","Thu Apr 11 05:54:11 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Thu Apr 11 05:56:43 UTC 2024","Thu Apr 11 05:56:43 UTC 2024","203","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"skipped","Thu Apr 11 06:17:39 UTC 2024","Thu Apr 11 06:17:39 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Thu Apr 11 07:17:57 UTC 2024","Thu Apr 11 07:18:35 UTC 2024","38549","","21. Forgot password function","","","","2. Reset password",""
"failed","Thu Apr 11 06:31:56 UTC 2024","Thu Apr 11 06:34:28 UTC 2024","151725","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Thu Apr 11 06:44:05 UTC 2024","Thu Apr 11 06:44:08 UTC 2024","2494","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Thu Apr 11 06:37:19 UTC 2024","Thu Apr 11 06:41:27 UTC 2024","248307","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Thu Apr 11 06:31:33 UTC 2024","Thu Apr 11 06:31:45 UTC 2024","12680","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"skipped","Thu Apr 11 05:54:11 UTC 2024","Thu Apr 11 05:54:11 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
